station_id,station_name,location,crs1,lat1,lon1,crs2,lat2,lon2,distance_meters
C2K280,四湖,雲林縣四湖鄉,TWD97,23.632147,120.219053,WGS84,23.6304,120.22717,850.5547947414177
C2X060,下營,臺南市下營區,TWD97,23.228563,120.248201,WGS84,23.226806,120.256291,850.5660029579308
C2S9B0,利吉,臺東縣卑南鄉,TWD97,22.864264,121.146788,WGS84,22.86246,121.15486,852.1418505950579
C2S9A0,北份子寮,臺東縣卑南鄉,TWD97,22.787412,121.070064,WGS84,22.78561,121.07813,851.9427148517908
C2SD50,順那,臺東縣東河鄉,TWD97,23.043467,121.285235,WGS84,23.04166,121.29332,852.4561477032911
C2SD70,二層坪,臺東縣鹿野鄉,TWD97,22.942853,121.160303,WGS84,22.94105,121.16838,852.1510255149975
C2SD60,明峰,臺東縣卑南鄉,TWD97,22.868903,121.110178,WGS84,22.8671,121.11825,852.0885786193527
C2SD80,再來山,臺東縣長濱鄉,TWD97,23.345518,121.433115,WGS84,23.34371,121.44122,852.6649284987272
C2TB80,庄子底,花蓮縣鳳林鎮,TWD97,23.719744,121.486249,WGS84,23.71794,121.49438,852.8650580937283
C2TB90,長橋,花蓮縣鳳林鎮,TWD97,23.689203,121.453731,WGS84,23.6874,121.46186,852.8282189947859
C2TB50,麻汝,花蓮縣玉里鎮,TWD97,23.427345,121.38547,WGS84,23.42554,121.39358,852.5895527713416
C2TB70,達谷寮,花蓮縣玉里鎮,TWD97,23.381804,121.351573,WGS84,23.38,121.35968,852.5408325710304
C2TB60,南安,花蓮縣卓溪鄉,TWD97,23.299981,121.253469,WGS84,23.29818,121.26157,852.3596862801328
C2H9X0,福盛,南投縣中寮鄉,TWD97,23.8953,120.83263,WGS84,23.89353,120.84077,851.7996724746821
C2G9C0,埔南,彰化縣埔鹽鄉,TWD97,23.992991,120.461546,WGS84,23.99124,120.46969,851.1072130847239
C2G9E0,移民庄,彰化縣二林鎮,TWD97,23.980148,120.394687,WGS84,23.9784,120.40283,851.0124145468957
C2K310,港尾布雞,雲林縣崙背鄉,TWD97,23.750092,120.376263,WGS84,23.74834,120.38439,850.9502809057742
C2M9A0,大華,嘉義縣竹崎鄉,TWD97,23.484171,120.6668,WGS84,23.4824,120.67491,851.3697240114572
C2M9D0,何竹子腳,嘉義縣民雄鄉,TWD97,23.538166,120.373918,WGS84,23.53641,120.38203,850.8588947259673
C2M9C0,紫雲,嘉義縣竹崎鄉,TWD97,23.496678,120.532142,WGS84,23.494914,120.540253,851.214860559832
C2M9E0,旺來山,嘉義縣民雄鄉,TWD97,23.556913,120.478349,WGS84,23.555153,120.486463,851.0448346190697
C2M9B0,西興,嘉義縣大埔鄉,TWD97,23.244571,120.568077,WGS84,23.2428,120.57617,851.1248238874251
C2N190,烏樹,臺南市後壁區,TWD97,23.32569,120.361793,WGS84,23.32393,120.36989,850.7553050943426
C2N180,鹿陶洋,臺南市楠西區,TWD97,23.145019,120.475434,WGS84,23.14325,120.48352,850.9724487579616
C2V920,匏子寮,高雄市甲仙區,TWD97,23.050824,120.54511,WGS84,23.04905,120.55319,851.0631988541242
C2V580,瑞山,高雄市內門區,TWD97,22.904811,120.42617,WGS84,22.90304,120.43424,850.8535858567366
C2R9A0,高士國小,屏東縣牡丹鄉,TWD97,22.127335,120.838508,WGS84,22.12553,120.84653,851.4248945664194
C2M530,奮起湖,嘉義縣竹崎鄉,TWD97,23.495674,120.691142,WGS84,23.493903,120.699253,851.3992485584345
C2M810,里佳,嘉義縣阿里山鄉,TWD97,23.390899,120.708543,WGS84,23.389125,120.716647,851.414852881754
C2C590,觀音,桃園市觀音區,TWD97,25.028835,121.145094,WGS84,25.027072,121.153317,852.5927874469079
C2E420,竹南,苗栗縣竹南鎮,TWD97,24.710737,120.880772,WGS84,24.70898,120.88897,852.0465738010486
C2E430,南庄,苗栗縣南庄鄉,TWD97,24.603539,120.992023,WGS84,24.601775,121.000214,852.2232623382569
C2W230,畜試所澎湖,澎湖縣西嶼鄉,TWD97,23.630055,119.505094,WGS84,23.628342,119.513206,849.2214938150443
C2E880,三義,苗栗縣三義鄉,TWD97,24.407236,120.741644,WGS84,24.405478,120.749819,851.7451926808877
C2FA00,烏石坑,臺中市和平區,TWD97,24.275269,120.939447,WGS84,24.273503,120.947617,852.2899654877715
C2F9A0,中竹林,臺中市太平區,TWD97,24.105556,120.743333,WGS84,24.103556,120.751061,816.331488337806
C2G840,北斗,彰化縣北斗鎮,TWD97,23.879222,120.506528,WGS84,23.877586,120.514222,804.2887009369947
C2H950,中寮,南投縣中寮鄉,TWD97,23.886278,120.758528,WGS84,23.884447,120.766406,827.5419010450169
C2I090,鳳凰,南投縣鹿谷鄉,TWD97,23.729722,120.779167,WGS84,23.728081,120.787347,853.6361810565246
C2F860,梨山,臺中市和平區,TWD97,24.245,121.237667,WGS84,24.247522,121.243669,670.5060211420101
C2K240,草嶺,雲林縣古坑鄉,TWD97,23.597319,120.685342,WGS84,23.59555,120.693461,851.5239124725216
C2E520,大湖,苗栗縣大湖鄉,TWD97,24.4167,120.862694,WGS84,24.414939,120.870872,852.0572996654262
C2F000,大肚,臺中市大肚區,TWD97,24.154667,120.564,WGS84,24.15295,120.572117,846.5718148372475
C2E540,龍溪,苗栗縣後龍鎮,TWD97,24.608056,120.775556,WGS84,24.606489,120.783933,865.9019231258977
C2F930,大甲,臺中市大甲區,TWD97,24.349917,120.632361,WGS84,24.347667,120.640403,853.2731079895972
C2G870,芳苑,彰化縣芳苑鄉,TWD97,23.924,120.311861,WGS84,23.922303,120.320025,852.1798763832112
C2G640,鹿港,彰化縣鹿港鎮,TWD97,24.076944,120.422222,WGS84,24.0753,120.430481,859.3849935411278
C2M910,嘉義大學,嘉義市東區,TWD97,23.473087,120.477795,WGS84,23.471325,120.485903,851.0090493119314
C2O950,安南,臺南市安南區,TWD97,23.078333,120.136667,WGS84,23.076694,120.144861,858.9856626150153
C2M410,馬頭山,嘉義縣大埔鄉,TWD97,23.326389,120.573611,WGS84,23.324361,120.582017,888.5782720526381
C2O810,曾文,臺南市楠西區,TWD97,23.221472,120.489222,WGS84,23.219681,120.497328,853.0705970123952
C2O930,玉井,臺南市玉井區,TWD97,23.127833,120.452472,WGS84,23.126042,120.46055,850.8423994831599
C2V260,月眉,高雄市杉林區,TWD97,22.972778,120.531778,WGS84,22.971003,120.539853,851.0530544906374
C2V250,甲仙,高雄市甲仙區,TWD97,23.081667,120.5825,WGS84,23.080106,120.591758,964.2109236179009
C2N160,西拉雅風管處,臺南市官田區,TWD97,23.191241,120.327209,WGS84,23.189481,120.335297,850.6664330282682
C2A920,富貴角,新北市石門區,TWD97,25.265556,121.557278,WGS84,25.263783,121.565258,827.4941446501523
C2A880,福隆,新北市貢寮區,TWD97,25.019167,121.934167,WGS84,25.017842,121.942083,812.3703793587947
C2A540,四堵,新北市坪林區,TWD97,24.894394,121.737519,WGS84,24.8926,121.745736,853.6727749434734
C2A560,福山,新北市烏來區,TWD97,24.778333,121.494583,WGS84,24.776203,121.502811,864.9114481127147
C2D720,關西工作站,新竹縣關西鎮,TWD97,24.759045,121.176589,WGS84,24.757275,121.184792,852.557392381364
C2D730,寶山農場,新竹縣寶山鄉,TWD97,24.734205,120.967953,WGS84,24.732444,120.976153,852.1935812801169
C2H9K0,屯原,南投縣仁愛鄉,TWD97,24.069754,121.201235,WGS84,24.067969,121.209389,852.4842877957328
C2G980,田頭村,彰化縣竹塘鄉,TWD97,23.828053,120.436042,WGS84,23.8263,120.444175,851.0902099543238
